smiles,DM,FHM,LP,PKs,RT,SHM,TP,group
CCCCBr,,0,,,,,1,valid
CCN(CC)C(=O)SCc1ccccc1Cl,1,,,,,,,training
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,,1,,,,,,training
O=C(O)CCCCCCC(=O)O,,,,,,,0,training
Cc1cc(O)ccc1[N+](=O)[O-],0,,,,,,1,training
CC(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,1,1,,1,,,training
BrC(Br)Br,0,,,,,,,training
CCS(=O)(=O)Oc1ccc2c(c1)C(C)(C)CO2,0,,,,0,,,training
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,1,0,,,1,,,training
O=[N+]([O-])OCCOCCO[N+](=O)[O-],0,0,0,,0,,,test
CN(C)CCC=C1c2ccccc2CCc2ccccc21,1,,,,,,,valid
ON=Cc1ccccc1,,,,,,,1,training
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,,,1,,1,,,training
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,1,,,0,,,,training
O=P([O-])([O-])OP(=O)([O-])[O-],0,,,,,,,training
Cc1cc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC2COC2)n1,0,,0,,,,,training
CCOC(=O)CC(C)C,,,,,,,0,training
Cc1cc(Cl)ccc1Cl,1,,,,,,,training
O=C1CCO1,,,,,,,1,training
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0,,,,,,,test
O=[N+]([O-])c1ccccc1Oc1ccc(Cl)cc1,,0,,,,,,valid
COc1cccc(OC)c1O,,,,,,,0,training
C=CCOC(=O)C=CC,,,,,,,1,training
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,0,,,,,,,training
C=C(C)C,,,,,0,,,training
Oc1cccc(Cl)c1Cl,1,,,,,,1,training
CC=CC(=O)OC(C)(C)C,,,,,,,0,training
O=Cc1ccc(Oc2ccccc2)cc1,,1,,,,,1,training
CCCCCC#CC(=O)OCC,,,,,,,1,training
CNC(=O)Oc1cccc(/N=C/N(C)C)c1,,,1,,1,,,test
CC(C)=CC=O,0,,,,,,1,valid
CCCCCCCCOc1ccccc1NC(C)=O,,1,,,,,,training
c1ccc2c(c1)CCO2,,0,,,,,,training
Oc1cccc(Cl)c1,,,,,,,1,training
CN(C)c1ccc(/C=C/C=O)cc1,,1,,,,,,training
CCCCOP(=O)(O)OCCCC,0,,,,,,,training
COc1cc(CCO)ccc1O,,,,,,,1,training
Cc1ccccc1N,0,,,1,,,1,training
CCCCCCCCCC(=O)N(C)C,1,,,,0,,,training
CC(Cc1ccc(C(C)(C)C)cc1)CN1CCCCC1,1,,1,,,,,test
CCCCCCCCCCC(=O)O,,,,,,,1,valid
CCCCOCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl,,,1,,1,,,training
OCC(O)CO,0,,,,0,,,training
ClCc1ccc(CCl)cc1,,1,,,,,,training
CSc1nc2ccccc2s1,,,1,,1,,,training
C[C@@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,,,,,1,,,training
c1cnc2c(c1)CCCC2,0,,,1,,,,training
Cc1cccc2ccccc12,1,1,,1,,,,training
CCc1ccccc1,,1,0,1,1,0,,training
Nc1ccccc1[N+](=O)[O-],0,,,,,,1,test
COc1nc(C)nc(N)n1,,,,,0,,,valid
O=CO,0,,,,,,,training
CCNC(=S)NCC,0,,,,,,,training
O=[N+]([O-])c1ccccc1,0,0,0,,0,0,1,training
CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1,1,,,,,,,training
CCC1O[C@]2(CCC1C)C[C@@H]1C[C@@H](CC=C(C)CC(C)C=CC=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,,1,1,,1,1,,training
CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,,,1,,1,,,training
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,0,,1,,1,1,,training
Cc1cc(O)cc(C)c1Br,,,,,,,1,training
Cc1ccc(O)cc1C,,0,,,,,1,test
CCCCCCCC(=O)CC,,,,,,,1,valid
COC(=O)Nc1nc2ccccc2[nH]1,1,,1,,1,1,,training
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,1,,1,,1,1,,training
CCOC(=O)CCCCBr,,,,,,,1,training
Cc1ccc(Cl)cc1N,,,,,,,1,training
CCC(=O)c1ccc(O)cc1,,,,,,,1,training
CC(C)CCC#N,,,,,,,0,training
CCCCCCCCCCCC(=O)OC,1,,,,,,,training
C=CC(C)(O)CCC=C(C)C,0,,,1,0,,,training
CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O,,0,,,,,,test
CCCCCCCCCCC(=O)OC,,,,,,,1,valid
CC(=O)c1cccc(O)c1,,,,,,,1,training
C[C@@H](Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)O,,,,,0,,,training
CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,1,,1,,1,1,,training
CC(=O)C(C)C,,0,,,,,0,training
O=C(O)CN(CC(=O)O)CC(=O)O,0,0,0,0,0,,,training
CCOc1ccc(C=O)cc1,,0,,,,,1,training
N#CC(C#N)=Cc1ccccc1Cl,,,0,,1,,,training
CC(CO)c1ccccc1,,,,,,,1,training
COC[C@H](C)N(C(=O)CCl)c1c(C)csc1C,,,0,,1,0,,test
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,1,,,,,,,valid
CCCCCC=CC(C)=O,,,,,,,1,training
c1ccncc1,0,0,,,,,,training
O=C(O)C=CCl,0,,,,,,,training
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1,0,,,,,,training
CCOc1ccc(N)c([N+](=O)[O-])c1,,0,,,,,1,training
[O-]n1ccccc1=S,,1,,,,,,training
CCCCCCOc1ccc(N)cc1,,1,,,,,1,training
O=[N+]([O-])c1cc(CN=C=S)ccc1Cl,,,,,,,1,training
CC(C)(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,1,,,,,,,test
COC(=O)CC(=O)OC,,,,,,,0,valid
O=C(O)COC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0,,,,,,,training
O=C(O)c1ccc(-c2ccccc2)cc1,,,,,,,1,training
CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,1,,1,,1,,,training
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)cc3)c(S(=O)(=O)O)cc2c1)c1ccccc1,,0,,,,,,training
Oc1c(Cl)cccc1Cl,1,,,,,,1,training
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1,0,,1,,1,,,training
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)cc1,1,,,,,,,training
O=C(CO)c1ccccc1,,,,,,,1,training
O=C(Nc1cccc(Cl)c1)c1cccc([N+](=O)[O-])c1O,,1,1,,1,,,test
CNC(=O)ON=C(C)SC,,1,1,,,1,,valid
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,1,,1,,1,,,training
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,1,1,1,,1,1,,training
CCOc1ccccc1OS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,0,,,,,,,training
CNc1ccc(C(=O)OC)cc1,,,,,,,1,training
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0,1,1,,1,,,training
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,1,1,1,,1,1,,training
CC(C)c1ccccc1,1,1,,1,1,,1,training
ClC(Cl)C(Cl)Cl,0,0,,,,,,training
CC(C)CCOCCC(C)C,1,,,,,,,test
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,1,0,0,0,0,0,,valid
CCOP(=O)(O)OCC,,,0,,,,,training
CC(=O)c1ccccc1O,,,0,,,,,training
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,1,,1,,1,,,training
Cc1cc(Cl)ccc1N,,,,,,,1,training
Cc1ccc([N+](=O)[O-])cc1,1,0,,1,,,1,training
C=O,0,,,,,,,training
CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,,1,,,,,,training
Nc1cccc(F)c1,1,,,,,,1,training
O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],,0,,,,,,test
OC1CCCCC1,,,0,,,,,valid
O=C(CCl)c1ccc(Cl)cc1,,0,,,,,,training
c1ccoc1,0,0,,,,,,training
Cc1ccncc1,,0,,,,,,training
CCOP(=O)(NC(C)C)Oc1ccc(S(C)=O)c(C)c1,1,,,,,,,training
COc1cc(OC)nc(Sc2cccc3c2C(=O)OC3C)n1,0,,,,0,,,training
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,1,,0,,0,,,training
CC(=O)Nc1cccc(O)c1,,0,,,,,1,training
N#C/C(=N\OCC1OCCO1)c1ccccc1,,,,,1,,,training
CCC#CC(O)CC(C)C,,,,,,,1,test
CCCCOCCCC,0,0,0,,,1,,valid
O=[N+]([O-])c1cccc2ccccc12,,1,,,,,,training
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,1,1,,,1,1,,training
C=C(Cl)C(Cl)CCl,0,,,,,,,training
CC/C=C/CCCCCCCCCCOC(C)=O,,,,,1,,,training
CC(C)(C)c1ccccc1,,,,,,,1,training
CCOC(=O)c1ccccc1,,1,,,,,,training
Cl[C@@H]1CCCC[C@H]1Cl,,0,,,,,,training
Nc1ccccc1F,1,,,,,,1,training
CCOP(=S)(OCC)SCCSCC,1,1,1,,1,1,,test
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,,1,,,,,,valid
N#CCc1ccc(N)cc1,,,,,,,0,training
CC(C)OC(=O)c1cc(-c2nn(C)c(C(F)(F)F)c2Br)c(F)cc1Cl,1,,,,1,,,training
C=CCOC(=O)C=C,,,,,,,1,training
Oc1ccc(-c2ccc(Br)cc2)cc1,,,,,,,1,training
O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,1,,1,,1,,,training
Cc1cccc(C(=O)O)c1,0,,,1,,,,training
CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1,1,,,,1,,,training
O=[N+]([O-])c1ccc(F)cc1O,,,,,,,1,training
O=C(Oc1ccccc1)c1ccccc1,,,,,,,1,test
CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,0,,,,,,,valid
Cc1cc(C)cc(C)c1,0,,,,,,,training
Cc1cccc([N+](=O)[O-])c1N,,0,,,,,,training
O=Cc1ccccc1[N+](=O)[O-],,0,,,,,1,training
CCCC(C)N,,,,,,,0,training
CC(C)CCCCCCCCCCNCCCCCCCCCCC(C)C,1,,,,1,,,training
COc1c(Cl)ccc(Cl)c1C(=O)O,0,,0,,0,0,,training
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],0,,,,,,,training
O=C([O-])COC(CC(=O)[O-])C(=O)[O-],0,0,,,,,,training
Cn1sc2ccccc2c1=O,,,,,1,1,,test
CCN(CC)C(C)=O,,0,,,,,,valid
O=C(CCl)CCl,0,,,,,,1,training
CNP(=O)(NC)Oc1ccccc1,,,,,0,,,training
O=C(NCCc1ncc(C(F)(F)F)cc1Cl)c1ccccc1C(F)(F)F,,1,1,,1,1,,training
Cc1ccc(Nc2ccc(C)cc2)cc1,1,,,,,,,training
CC1(C)CC(N)CC(C)(CN)C1,0,,,,,,,training
CCCN(CCC)C(=S)SSC(=S)N(CCC)CCC,1,,,,,,,training
N#Cc1cccnc1,0,,,,,,0,training
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,1,1,,1,,1,training
C=C(C)C(=O)OCC(C)C,0,,,,,,1,test
CCOC(=O)/C(Cl)=C\c1cc(N2C(=O)C3=C(CCCC3)C2=O)ccc1Cl,,,,,0,,,valid
Cc1cccnc1,0,0,,1,,,,training
COc1cc(O)ccc1O,,,,,,,1,training
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,1,,1,,1,,,training
c1ccc([Sn](c2ccccc2)c2ccccc2)cc1,1,,,,,,,training
Nc1cccc(Cl)c1,1,,,1,,,1,training
N#Cc1cc(Cl)c(O)c(Cl)c1,,0,,,,,,training
CCSSCC,1,,,,,,,training
O=C(O)CCCCCCCBr,,,,,,,1,training
