smiles,DM,FHM,LP,PKs,RT,SHM,TP,group
CC1=CCCC1=O,,,,,,,0,valid
CC=CC(=O)OC(C)C,,,,,,,0,training
C=C1C2CCC3C2C(C)(C)CCCC13C,,0,,,,,,training
CC12CCC(CC1)C(C)(C)O2,0,0,,,,,,training
CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1,1,,,0,1,,,training
CCCC(=O)N(CSP(=S)(OC)OC)c1ccccc1Cl,,,,,1,,,training
CCCCC(CC)C(=O)OOC(C)(C)C,1,,,,,,,training
Clc1cccc(Cl)c1C(Cl)Cl,,1,,,,,,training
NC(=O)c1ccccc1,,0,,,,,0,training
O=C1c2ccccc2C(=O)C1c1nc2ccccc2cc1O,,0,,,,,,test
N#CCCCBr,,,,,,,1,valid
C=CC=O,0,1,1,,1,1,1,training
S=C=NC(c1ccccc1)c1ccccc1,,,,,,,1,training
Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-],1,1,,,,,,training
COCCc1ccc(OCC(O)CNC(C)C)cc1,0,,,,,,,training
N#Cc1ccccc1C#N,0,,,1,,,1,training
CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2CC3C4CC(OC5CC(C)C(OC)C(OC)C5OC)CC4CCC3C2CC(=O)O1,,,,,0,,,training
CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,1,,,1,1,,,training
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,1,,1,,1,,,training
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,,1,1,,1,,,test
CNC(=O)C=C(C)OP(=O)(OC)OC,1,0,1,,1,,,valid
CCC(C)OC(=S)S,,,,,0,,,training
CCNc1nc(NC(C)(C)C)nc(SC)n1,1,,1,,1,1,,training
CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,,,,,1,,,training
c1ccc2cnccc2c1,0,,,,,,,training
CCC(C)CC(=O)O,,,,,,,1,training
O=[N+]([O-])c1ccc(O)cc1,0,0,1,,1,0,1,training
CCCCCC#CC(=O)O,,,,,,,1,training
O=Cc1c(O)ccc2ccccc12,,,,,,,1,training
O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1,1,,1,,1,,,test
O=[N+]([O-])C(Cl)(Cl)Cl,1,,,,,,,valid
N#Cc1ccc(Cl)cc1,,,,,,,1,training
Cc1cccc(N)c1C,1,,,1,,,1,training
CCOC(=O)C1=NN(c2ccc(Cl)cc2Cl)C(C)(C(=O)OCC)C1,0,,,,1,,,training
O=C1c2ccccc2C(=O)c2ccccc21,0,,,,0,,,training
CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,,,1,,1,1,,training
O=[N+]([O-])c1ccc(CBr)cc1,,,,,,,1,training
COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],,0,,,,,1,training
CC(C)c1ccc2ccccc2c1C(C)C,1,,,,,,,training
Nc1nc(N)nc(N)n1,0,,,,0,,,test
O=S(CCl)c1ccccc1,1,,,,,,,valid
CCCCCCCC[N+](C)(C)CCCCCCCC,,1,1,,1,,,training
Cc1ncc([N+](=O)[O-])n1CCO,,,0,,0,0,,training
O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1,,,,,,,1,training
COc1ccc(C=O)cc1O,,,,,,,1,training
O=S(=O)([O-])c1ccc[n+](Cc2ccccc2)c1,,0,,,,,,training
CNN,1,,,,,,,training
O=CC=Cc1ccccc1,,,,,,,1,training
CC=CC(=O)OC(C)CC,,,,,,,1,training
CCCCCCCOc1ccc(O)cc1,,,,,,,1,test
Cc1ccc(O)cc1,1,0,0,1,1,,1,valid
N#Cc1cc(Br)c(O)c(Br)c1,1,0,1,,1,,1,training
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,1,,1,,1,1,,training
O=C1CCCC(=O)C1,,,,,,,0,training
CCc1cc(O)ccc1Cl,,,,,,,1,training
CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,0,,,,,,,training
Nc1ccccc1CO,,,,,,,0,training
CCOCCOCCOC(=O)Nc1nc2ccccc2[nH]1,,,0,,0,,,training
CCCCC(=O)O,0,0,,,,,1,training
O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,,0,,,,,1,test
CC(c1ccc(C(F)(F)F)nc1)S(C)(=O)=NC#N,,,,,0,,,valid
CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,1,,1,,,,,training
CNC(=O)ON=C(C)C(C)SC,1,,,,,,,training
Oc1c(F)c(F)c(O)c(F)c1F,,,,,,,1,training
CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,,0,0,,,,,training
CCOC(=O)c1ccc(N)cc1,,0,1,,1,,,training
C#CC(C)(O)C(C)C,,0,,,,,,training
O=c1c(C2CCCc3ccccc32)c(O)oc2ccccc12,,,,,0,,,training
CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1,1,,0,,,,,training
N#Cc1cc(Cl)ccc1N,,0,,,,,1,test
CCN(CC)C(=O)n1cnc(S(=O)(=O)c2c(C)cc(C)cc2C)n1,0,,,,,,,valid
N#Cc1ccccc1N,,,,,,,0,training
CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1,,,,,,,training
COC(=O)CCCCCCC(=O)OC,,,,,,,1,training
C#CCN(C)c1ccccc1OC(=O)NC,,,1,,1,,,training
C=CC(F)(Cl)C(F)(F)Br,1,,,,,,,training
Nc1ccccc1Cl,1,1,,1,,,1,training
CCC(CC)C(=O)O,0,,,1,,,1,training
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1,,,,,,,training
c1ccc2oc(-c3ccc(-c4nc5ccccc5o4)s3)nc2c1,,,0,,,,,test
Cc1cc(O)c([N+](=O)[O-])cc1Cl,,,,,,,1,valid
CC(C)C=CC=O,,,,,,,1,training
N=C(N)NC(=N)Nc1ccccc1,,,,,,,1,training
Oc1ccccc1,0,0,0,1,1,,1,training
Cc1cc(O)c([N+](=O)[O-])cc1[N+](=O)[O-],1,1,,,,,,training
O=C(O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],,,,,0,,,training
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,0,,,,,,,training
ClC(Cl)Cl,0,0,,,,,,training
CC(C)c1cccc2ccccc12,1,,,,,,,training
CCCCCCCCCCCC(C)=O,1,1,,,,,1,test
OCc1ccccc1,0,0,0,,,,0,valid
Nc1c(S(=O)(=O)[O-])cc(Nc2ccccc2)c2c1C(=O)c1ccccc1C2=O,,0,,,,,,training
CCCCCCC(Br)C(=O)OCC,,,,,,,1,training
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,,1,,,,,,training
Cc1cc(C)c(C#N)c(=O)[nH]1,,0,,,,,0,training
CNC1=C(c2cccc(C(F)(F)F)c2)C(=O)C(c2ccccc2)O1,0,,,,1,,,training
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,1,,1,0,1,,,training
C=CC(=O)OCc1ccccc1,,,,,,,1,training
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0,,,,,,,training
CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,1,,1,,1,0,,test
CC(C)Nc1ccc(Nc2ccccc2)cc1,1,,,,,,,valid
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,,1,1,,1,1,,training
COc1ccc(OC)c(C=O)c1,0,,,,,,,training
CC(C)(Br)C(=O)C(C)(C)Br,,,,,,,1,training
CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,,1,1,,1,,,training
Nc1ccccn1,0,,,,,,,training
CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C(\Cl)C(F)(F)F,,,1,,1,,,training
CCCCCC1CCCC(=O)O1,,,,,,,1,training
CCCCC(CC)COC(=O)c1ccc(O)cc1,,,,,,,1,training
COC(=O)c1ccc(C#N)cc1,,0,,,,,1,test
N#Cc1ccccc1Cl,0,,,,,,1,valid
CCC(CN1CCOCC1)[N+](=O)[O-],,,1,,1,,,training
COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,1,,1,,1,1,,training
IC(I)I,,1,,,,,,training
CCCCCOc1ccc(C=O)cc1,,,,,,,1,training
C=C1CC(=O)O1,1,,,1,,,,training
C#CCNC,,,,,,,0,training
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0,,,,,,,training
COc1ccc(C)cc1,,,,,,,1,training
COc1cc(C=O)cc(OC)c1O,0,,,,,,1,test
O=NN(c1ccccc1)c1ccccc1,0,,1,1,,,,valid
CCCCCCC=CC(=O)OC,,,,,,,1,training
O=C(O)[C@]1(O)c2ccccc2-c2ccc(Cl)cc21,,,,,1,,,training
CCNc1nc(NC(C)C)nc(SC)n1,0,1,1,,1,1,,training
COCC(=O)N(c1c(C)cccc1C(=O)O)[C@H](C)C(=O)O,,,,,0,,,training
CON(C)C(=O)Nc1ccc(Cl)cc1,0,,,,0,,,training
Cc1ccc(N)cc1[N+](=O)[O-],0,0,,,,,,training
N#Cc1ccccn1,,0,,,,,0,training
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1,1,1,,1,1,,training
CCOC(=O)C=Cc1ccccc1,,,,,,,1,test
CCCCCCCCCCCCCOCC,,1,1,,1,,,valid
CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,,1,,,,,,training
C=COC(=O)CCC,,,,,,,1,training
CN(CCO)CCO,,,,,,,0,training
CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,0,,,,,,,training
CCN=C=S,1,,,,,,1,training
OCCCCCCc1ccccc1,,,,,,,1,training
O=[N+]([O-])c1ccc(O)c(CCl)c1,,,,,,,1,training
CCCOc1ccc(O)cc1,,,,,,,1,training
CCc1cccc(O)c1,,,,,,,1,test
CCCCCCCC=CCO,,,,,,,1,valid
CCCN(CCC)C(=O)SCC,0,,0,,0,0,,training
CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],,,,,1,,,training
OCC(Br)(Br)Br,,,,,,,1,training
OCC(CO)(CO)CO,0,,,,,,,training
C=CC(=O)CC,,,,,,,1,training
O=C1CCCCC1,0,0,,,,,0,training
CCCCCCCCCCBr,,,,,0,,,training
O=C(O)CNCO,,,0,,0,,,training
CC1(C)C(=O)N(CO)C(=O)N1CO,,,0,,0,,,test
CCOCCO,0,,0,,,,,valid
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c(O)c1O,,,,,,,1,training
CCCCCS,1,,,,,,,training
C=CC(C)(CCC=C(C)C)OC(C)=O,1,,,,,,,training
Cc1ccc(Cl)c(C=O)c1F,,,,,,,1,training
[O-][S+](Cc1ccccc1)Cc1ccccc1,,0,,,,,,training
CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,0,,,,0,,,training
COP(=S)(OC)SC(CC(=O)O)C(=O)O,0,,,,,,,training
O=C(O)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,,,,,0,,,training
O=C/C=C/c1ccccc1,,,1,,1,,,test
CCCCCCCCCCC#CCCO,,,,,,,1,valid
COc1c(Cl)ccc(-c2cc(N)c(Cl)c(C(=O)O)n2)c1F,,,,,0,,,training
CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,,1,1,,1,,,training
COc1ccc([N+](=O)[O-])cc1,,,,,,,1,training
[O-]/[N+](=N\c1ccccc1)c1ccccc1,,,,,1,,,training
CC12C=CC(=O)C=C1C(Cl)=CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,,,,,,,training
C/N=C(/NCC1CCOC1)N[N+](=O)[O-],,,,,0,,,training
Cc1cccc(C(C)(C)C)c1O,1,,,,,,,training
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,0,1,0,,1,,,training
CC(C)(C)CCN,,0,,,,,,test
CC(Br)C(=O)C(=O)C(C)Br,,,,,,,1,valid
O=[N+]([O-])c1ccc(F)c(Cl)c1,1,,,0,,,1,training
Oc1cccc(O)c1O,,,,,,,1,training
CCc1cccc(CC)c1N,,,,,,,1,training
COCCCNCc1cc(OC)c(OC)c(OC)c1,,0,,,,,,training
CCCCNC(N)=S,0,,,,,,,training
O=Cc1cc(O)ccc1O,0,,,,,,1,training
C1C2CC3CC1CC(C2)C3,,1,,,,,,training
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,0,,0,,1,0,,training
CCNCc1ccccc1,,0,,,,,,test
CCCOC=O,,,,,,,0,valid
COc1cc(C=O)cc(OC)c1OC,0,,,,,,,training
NCCNCCNCCNCCNCCN,1,,,,,,,training
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,,0,,,,,,training
CC(COc1ccc(C(C)(C)C)cc1)O[S+]([O-])OCCCl,,,1,,1,,,training
CCCCOC(=O)CCCCCCC(=O)OCCCC,,,,,,,1,training
N#CSCc1ccccc1,,,,,,,1,training
CC1=NNC(=O)N(/N=C/c2cccnc2)C1,,,0,,0,0,,training
NCCCCCCO,,,,,,,0,training
O=C(O)C1(O)c2ccccc2-c2ccc(Cl)cc21,1,,,,,,,test
O=C(O)C(Cl)(Cl)Cl,0,0,,,,,,valid
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0,,,,,,,training
O=[N+]([O-])c1ccccc1Cl,0,,,,,,1,training
CSCCC(N)C(=O)O,,,,1,,,,training
CNC(=O)O/N=C/C(C)(C)[S+](C)[O-],,,,,1,,,training
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1S(=O)(=O)O,,1,1,,1,,,training
CCC(C)(O)CCCC(C)C,,,,,,,1,training
OCCN(CCO)c1ccccc1,,0,,,,,,training
CC(C)=CC=C(C)C,1,1,,,,,,training
O=C1CCC(=O)CC1,,,,,,,0,test
CCCCC(=O)OCCC,,,,,,,1,valid
O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,1,,,,1,,1,training
CC(c1ccccc1)c1ccc(O)c(C(C)c2ccccc2)c1,,,,1,,,,training
CCCCCN=C=S,,,,,,,1,training
N#Cc1cccc(N)c1,,,,,,,1,training
COc1ccc(O)c(C(C)(C)C)c1,1,,,1,,,,training
Nc1ncn[nH]1,0,,,,,,,training
CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,1,,1,,1,,,training
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1,1,1,,1,1,,training
CC(C)(SC(=O)N1CCCCC1)c1ccccc1,0,,,,1,,,test
O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,0,,0,,0,0,,valid
CCCCC(=O)OC,,,,,,,0,training
Nc1cc(Cl)nc(C(=O)O)c1Cl,,,0,,0,,,training
O=Cc1cc(O)c(O)c(O)c1,,,,,,,1,training
C1COCO1,,,,,,0,,training
Nc1ccc(C(=O)c2ccccc2)cc1,,,,,,,1,training
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,1,1,1,,1,,,training
O=C(O)CCCC(=O)O,,,,,,,0,training
O=C(c1ccccc1)c1ccc(O)c(O)c1O,,,,,,,1,training
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,,,,,1,,,test
Cc1cccc(O)c1O,,,,,,,1,valid
CC(=O)c1ccc(N)cc1,0,,,,,,,training
COc1ccc(/C(=C\C(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,,,,,1,,,training
O=C(O)CCCCCCCCCCC(=O)O,,,,,,,1,training
CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0,,,,,,,training
CNC(=O)NC,0,,,,,,,training
CCC(C)CO,,,,,,,0,training
CC1CC(=O)O1,,,,,,,0,training
O=C(O)c1ccccc1C(=O)O,,,,,0,,,training
CC1=C(C(=O)Nc2ccccc2)[S+]([O-])CCO1,,,,,0,,,test
CCCCc1ccccc1,1,,,0,,,1,valid
CC1(C)C(/C=C/C(=O)OC(C(F)(F)F)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,,,,,1,,,training
Nc1c(N=Nc2ccc([N+](=O)[O-])cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12,,0,,,,,,training
C=CC(=O)OCC,1,1,,1,,,1,training
CC1(C)O[C@H](c2ccco2)CN1C(=O)C(Cl)Cl,,,,,1,,,training
O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,1,0,,,,,1,training
COc1cccc(C2(O)CCCCC2CN(C)C)c1,0,,,,,,,training
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,,,1,,,,,training
O=C(O)C(=O)Nc1ccccc1,,,,,0,,,training
CCC1CCCCC1,1,,,0,,,,test
COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,,,1,,1,1,,valid
CC(C)c1ccc(O)cc1,,,,,,,1,training
CC1=CC(=O)C(C)=C(C)C1=O,1,,,,,,,training
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,0,0,0,,1,,,training
c1ccc2scnc2c1,0,0,,1,,,,training
CCOC(=O)C1=NOC(c2ccccc2)(c2ccccc2)C1,1,,1,,1,,,training
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,1,1,1,,1,1,,training
CC(C)[C@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,,,1,,,,,training
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1,,,,,,,training
COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)O)n1,,,0,,0,0,,test
NC(=O)c1cc(Cl)ccc1[N+](=O)[O-],,,,,,,1,valid
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,,,,,,,training
Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,,,,,0,,,training
CCC(C)OC(=O)N1CCCCC1CCO,0,,,,0,,,training
COc1cc(C)c(C(=O)c2c(OC)ncc(Cl)c2C)c(OC)c1OC,,,,,1,,,training
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,1,,,,,,,training
CCOCN(C(=O)CCl)c1c(C)cccc1CC,1,,1,,1,1,,training
CCONC(CC)=C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,,,1,,,,,training
CC(=O)c1cc(F)ccc1O,,,,,,,1,training
Cc1cccc(C)c1,1,0,1,1,1,,,test
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0,,,,,,,valid
O=C1NCCCN1,,,,,0,,,training
C=C(C)[C@H]1CC=C(C)CC1,,1,,,,,,training
O=Cc1ccccc1Br,,,,,,,1,training
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1,1,1,0,1,,1,training
Oc1ccccc1-c1ccccc1,1,1,1,,1,,1,training
CC[N+](CC)(CC)Cc1ccccc1,0,0,,,,,,training
CCCCCCCCC=CCO,,,,,,,1,training
CCCOC(=O)CCC,,,,,,,1,training
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,,,0,,0,,,test
C=CCc1ccc(O)c(OC)c1,,0,,,0,,1,valid
c1ccc2c(c1)sc1ccccc12,1,,,0,,,,training
COP(=O)(OC)OC=C(Cl)Cl,1,1,,,1,1,,training
Cc1ccc(N)cc1N,0,0,,1,,,,training
COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)cc(C)n1,0,1,0,,0,,,training
CC=CC=CC,,0,,,,,,training
COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(Cl)nc3ccccn23)n1,0,,,,,,,training
O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1,,,,1,,,training
CCCOC(=O)C=Cc1ccccc1,,,,,,,1,training
CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=C(C)C4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1,1,,,,,,,test
S=C=S,1,,,,,,,valid
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,,,,1,,,training
Cc1ccc(C)c(C)c1,,1,,,,,1,training
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0,,,,,,,training
CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1)n1cncn1,0,,,,,,,training
Cc1cccc(C)c1N,0,,,1,,,1,training
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,,1,,,,,,training
CC1=C(C(=O)Nc2ccccc2)CCCO1,,,,,0,,,training
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0,,,,,,,training
Nc1cc(Cl)c([N+](=O)[O-])cc1O,,,,,,,1,test
CCNC(N)=S,0,,,,,,,valid
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,0,,0,,0,,,training
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,,0,0,,0,0,,training
CCOC(=O)C(C)C(=O)OCC,,,,,,,0,training
O=C1C=C(c2ccccc2)C(=O)C=C1c1ccccc1,,,,,,,1,training
CNc1ccccc1,1,0,,1,,,1,training
FC(F)(F)c1cccc(OCCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)n1,,,,,1,,,training
O=Cc1cc(I)cc(I)c1O,,,,,,,1,training
CN(C(N)=S)c1ccccc1,0,,,,,,,training
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,0,,0,,0,,,test
[O-][S+]1CCON=C1c1cc2ccccc2s1,,,1,,1,,,valid
CCCCCCCCCCCCCCCCCCc1cc(C)cc(CCCCCCCCCCCCCCCCCC)c1O,,,,,0,,,training
CCCSCSP(=S)(OCC)OCC,,1,1,,,,,training
Cc1cc(C)cc(O)c1,,,,,,,1,training
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,,,0,,0,0,,training
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(CON=C(c2ccc(Cl)cc2)C2CC2)cc1,1,,,,,,,training
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,,,,1,,,training
CCOC(=O)C(C#N)c1ccccc1,,,,,,,1,training
c1ccc2sc(SNC3CCCCC3)nc2c1,1,,,0,,,,training
O=[N+]([O-])c1cc(CO)cc([N+](=O)[O-])c1,,,,,,,1,test
CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,,,,,0,,,valid
CCCCCCCCCCCCCCCCCCCCCC(=O)O,1,,,,,,,training
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,0,,,,1,,,training
CCOC(=O)C=C(C)C,,,,,,,1,training
Cc1cccc2sc3nncn3c12,0,,1,,1,,,training
CCC=CCO,,,,,,,0,training
[O-][S+](c1ccccc1)c1ccccc1,,0,,,,,,training
COC(=O)c1ccc(OC)cc1O,,,,,,,1,training
CC(C)=CCCC(C)=CCN(CC=C(C)CCC=C(C)C)CCO,,1,,,,,,training
CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,1,,1,,1,1,,test
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,1,,0,,1,,,valid
O=c1ccc(=O)[nH][nH]1,0,1,0,,0,,,training
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,,,0,,1,,,training
COC(=O)CCCCCCCCC(=O)OC,,,,,,,1,training
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,1,,0,,,,,training
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],0,0,,1,,,,training
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1,,,,,,,training
C=CCNC(=O)c1c([Si](C)(C)C)sc(C)c1C,,,0,,,,,training
CNC(=O)ON=C(C)C(C)S(C)(=O)=O,1,,,,0,,,training
CCCCCCOc1ccc(C=O)cc1OC,,1,,,,,,test
CCCCCOCCCCC,,1,,,,,,valid
O=S(Cc1ccccc1)Cc1ccccc1,,0,,,,,,training
C#Cc1ccccc1,,,,,,,1,training
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,0,,,,,,,training
Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1,,,1,,1,1,,training
COc1c(O)c(Cl)cc(Cl)c1Cl,,,,,1,,,training
COCC(C)OC(C)=O,0,,,,,,,training
CCOP(=O)(Sc1ccccc1)Sc1ccccc1,,,,,1,,,training
Oc1cc(Cl)c(Cl)cc1O,,1,,,,,,training
c1ccc(CC2=NCCN2)cc1,,0,,,,,,test
CC(C)(CN)CO,,,,,,,0,valid
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0,,,,,,,training
CC(C)(C)OO,0,,,,,,,training
OCc1cccc(Oc2ccccc2)c1,1,,,,,,,training
CN(C)CCCCCCN(C)C,0,,,,,,,training
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1,1,1,,1,,,training
ClC1C2(Cl)C3C4C5OC5C5C4C1(Cl)C(Cl)(C53)C2(Cl)Cl,,,1,,,,,training
CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC,,,1,,1,,,training
CC(C)(C)[C@@H](O)/C(=C/c1ccc(Cl)cc1Cl)n1cncn1,,,,,1,,,training
Oc1cccc2cccnc12,1,,,0,1,,,test
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,0,,,,,,,valid
CCNc1nc(NC(C)C(C)C)nc(SC)n1,1,,,,1,,,training
C=CC(=O)OCC(C)C,0,1,,,,,1,training
Nc1ccccc1O,1,,,,,,1,training
C=Cc1ccccc1,0,1,1,,1,1,,training
CC(C)OC(=O)Nc1cccc(Cl)c1,1,,1,,1,,,training
ClC1=C(Cl)[C@]2(Cl)[C@H]3C[C@H](Cl)[C@H](Cl)[C@H]3[C@@]1(Cl)C2(Cl)Cl,,,1,,,,,training
CCCCCCNC(=N)NC(=N)N,,,1,,1,,,training
ClCCCCl,0,0,0,,,0,,training
Nc1cnn(-c2ccccc2)c(=O)c1Cl,0,,,,0,,,test
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1,,1,,1,1,,valid
O=C(O)c1cccc(C(F)(F)F)c1,,,,,0,,,training
S=C=NCCc1ccccc1,1,,,,,,1,training
